Hi,Привет
Bye,Пока
Good-bye,До свидания
Hello,Здравствуйте
you (informal or singular or animal),ты
you (formal or plural),вы
My name is,Меня зовут
What is your name,Как тéбя зовут
Her name is,её зовут
His name is,éго зовут
My last name,Моя фамилия
Nice to meet you,Приятно познакомиться
How are you,Как дела
terrific,óтлично
good,хорошо
bad,плохо
so-so,Так себе
Thank you,спасибо
What is your name,Как тебя зовут
Have a nice day!,Хорошего дня!
