красивый,красивее
сильный,сильнее
быстрый,быстрее
горячий,горячее
холодный,холоднее
смешной,смешнее
грустный,грустнее
трудный,труднее
частый,чаще
чистый,чище
толстый,толще
большой,больше
маленький,меньше
дорогой,дороже
дешёвый,дешевле
лёгкий,легче
тихий,тише
громкий,громче
высокий,выше
низкий,ниже
далёкий,дальше
глубокий,глубже
молодой,моложе
старший,старше
рано,раньше
поздно,позже
редко,реже
хороший,лучше
плохой,хуже
