beautiful,красИвый
big,большая
small,маленький
cheap,дешёвый
expensive,дорогой
interesting,Интересно
dark,темно́
nice,красивый
strong,сильный
fast,быстрый
hot,горячий
cold,холодный
funny,смешной
sad,грустный
difficult,трудный
frequent,частый
clean,чистый
fat,толстый
little,маленький
light,лёгкий
quiet,тихий
loud,громкий
tall,высокий
low,низкий
far,далёкий
deep,глубокий
young,молодой
older,старший
early,рано
late,поздно
rarely,редко
good,хороший
bad,плохой
